epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.204,1.78725,3.36232,3.09562,0.16711,0.75,0.55336,0.23452,1.28939,3.05278,3.49583,0.00013336,0.00013336,0.00013336
2,243.769,1.36597,2.58032,2.84685,0.56897,0.78846,0.67969,0.30887,1.32766,2.18859,3.38881,0.000280584,0.000280584,0.000280584
3,333.03,1.24384,1.70746,2.5573,0.55124,0.90385,0.76762,0.38879,1.25753,3.62151,3.2634,0.000424838,0.000424838,0.000424838
4,446.353,1.21968,1.57974,2.58277,0.72929,0.88254,0.85478,0.49365,1.21068,1.57648,3.01616,0.000566122,0.000566122,0.000566122
5,545.301,1.09561,1.2342,2.46117,0.92665,0.92308,0.94328,0.63128,1.04939,1.42787,3.51511,0.000704434,0.000704434,0.000704434
6,637.583,1.1152,1.15078,2.21376,0.8844,0.92308,0.94307,0.69845,1.04579,1.79659,3.5664,0.000839776,0.000839776,0.000839776
7,732.26,1.02554,1.01051,2.34179,0.97658,0.97417,0.98129,0.70656,1.03408,1.08703,3.53355,0.000972148,0.000972148,0.000972148
8,833.372,1.05703,0.96159,2.37643,0.92364,0.96189,0.9882,0.66402,1.22188,1.12913,3.01883,0.00110155,0.00110155,0.00110155
9,931.386,1.03765,0.94113,2.40696,0.9826,0.92059,0.98387,0.72533,1.08255,1.09038,3.17229,0.00122798,0.00122798,0.00122798
10,1032.26,1.10603,0.95614,2.36548,0.95866,0.91586,0.96512,0.6994,1.03884,1.19591,3.23993,0.00135144,0.00135144,0.00135144
11,1132.73,1.06363,0.87583,2.28309,0.87127,0.94737,0.97043,0.73752,0.94053,1.04507,2.77961,0.00147193,0.00147193,0.00147193
12,1229.09,1.0772,0.88154,2.30583,0.89698,0.95264,0.97044,0.7119,1.02488,0.98157,2.78713,0.00148546,0.00148546,0.00148546
13,1331.58,1.07499,0.82109,2.41706,0.9423,0.90071,0.96969,0.66591,1.09521,1.08201,2.91511,0.00146896,0.00146896,0.00146896
14,1437.03,1.06536,0.83353,2.38544,0.91641,0.9595,0.97525,0.70758,0.97438,0.98014,3.11269,0.00145246,0.00145246,0.00145246
15,1538.51,1.04817,0.81007,2.54753,0.94253,0.92121,0.9653,0.6454,1.10984,1.06058,3.56478,0.00143595,0.00143595,0.00143595
16,1630.65,1.10057,0.80869,2.36957,0.96587,0.90643,0.966,0.68432,1.08286,0.98858,2.79545,0.00141945,0.00141945,0.00141945
17,1733.13,1.0137,0.7425,2.30184,0.97514,0.91947,0.98345,0.7125,1.07574,0.93066,2.53078,0.00140295,0.00140295,0.00140295
18,1822.97,0.95248,0.73093,2.28971,0.95702,0.96154,0.99103,0.74084,0.89503,0.8002,2.35143,0.00138644,0.00138644,0.00138644
19,1915.43,0.98847,0.72733,2.36235,0.95068,0.94231,0.97914,0.74334,0.86876,0.75815,2.4671,0.00136994,0.00136994,0.00136994
20,2003.66,0.98505,0.72594,2.23548,0.99529,0.93398,0.98472,0.78592,0.86575,0.74719,3.21333,0.00135344,0.00135344,0.00135344
21,2096.61,0.93536,0.72237,2.34686,0.97458,0.93142,0.97831,0.76898,0.89395,0.74429,2.63235,0.00133693,0.00133693,0.00133693
22,2192.27,0.92756,0.67109,2.27998,0.9814,0.93361,0.98494,0.74018,0.94888,0.72489,2.48501,0.00132043,0.00132043,0.00132043
23,2289.09,0.97464,0.71361,2.29582,0.98337,0.96297,0.98765,0.78088,0.81398,0.68429,2.5454,0.00130393,0.00130393,0.00130393
24,2384.09,0.87387,0.69284,2.27048,0.98066,0.93941,0.993,0.75331,0.8353,0.687,2.42185,0.00128742,0.00128742,0.00128742
25,2479.81,0.87601,0.65635,2.246,0.97909,0.97756,0.99316,0.76467,0.82437,0.68611,2.8388,0.00127092,0.00127092,0.00127092
26,2569.87,0.85999,0.64253,2.32985,0.94228,0.99459,0.98954,0.80121,0.76258,0.62547,3.4014,0.00125442,0.00125442,0.00125442
27,2658.03,0.91507,0.66705,2.28401,0.93354,0.96154,0.98766,0.77525,0.83582,0.6288,2.59731,0.00123791,0.00123791,0.00123791
28,2755.9,0.8497,0.61108,2.08746,0.94335,0.95158,0.98731,0.80515,0.82898,0.61722,2.72732,0.00122141,0.00122141,0.00122141
29,2851.21,0.86582,0.62601,2.12209,0.95438,0.96375,0.9899,0.78883,0.75299,0.62437,2.6118,0.00120491,0.00120491,0.00120491
30,2942.13,0.8478,0.60457,2.14823,0.99921,0.99857,0.995,0.81014,0.73734,0.6128,2.37503,0.0011884,0.0011884,0.0011884
31,3047.79,0.84529,0.62172,2.2689,0.99431,0.96297,0.99393,0.82507,0.72004,0.5858,2.31211,0.0011719,0.0011719,0.0011719
32,3145.77,0.87943,0.62852,2.15958,0.98132,0.99003,0.9937,0.80246,0.7857,0.57352,2.30458,0.0011554,0.0011554,0.0011554
33,3247.56,0.85143,0.59497,2.08373,0.94674,0.96935,0.9786,0.79154,0.80589,0.56051,2.63288,0.00113889,0.00113889,0.00113889
34,3342.58,0.83685,0.60153,2.06883,0.95783,0.99094,0.98821,0.81038,0.78263,0.53564,3.10872,0.00112239,0.00112239,0.00112239
35,3446.38,0.80863,0.54878,2.03764,0.98616,0.99008,0.995,0.85165,0.6955,0.50977,2.12977,0.00110589,0.00110589,0.00110589
36,3538.27,0.84226,0.59407,2.02303,0.94095,1,0.9909,0.80631,0.80803,0.57614,2.22539,0.00108938,0.00108938,0.00108938
37,3638.18,0.79134,0.56527,2.13242,0.9803,0.96154,0.99268,0.80091,0.80296,0.54896,2.13034,0.00107288,0.00107288,0.00107288
38,3736.91,0.80698,0.57166,2.06188,0.99722,1,0.995,0.82186,0.78167,0.51333,2.40637,0.00105638,0.00105638,0.00105638
39,3829.75,0.74836,0.53731,1.99984,0.99235,0.98077,0.99444,0.83467,0.72186,0.51946,2.40673,0.00103987,0.00103987,0.00103987
40,3926.68,0.77644,0.54962,1.99176,0.99482,0.98077,0.99345,0.83172,0.73132,0.50398,2.63026,0.00102337,0.00102337,0.00102337
41,4019.91,0.77587,0.56567,2.11301,0.99645,0.9805,0.99444,0.8329,0.71881,0.48657,2.56275,0.00100687,0.00100687,0.00100687
42,4120.37,0.72906,0.54616,2.08751,0.99012,0.99811,0.995,0.83257,0.70407,0.4977,2.54534,0.000990365,0.000990365,0.000990365
43,4218.69,0.80056,0.58485,1.99568,0.95725,0.99565,0.99019,0.8482,0.68472,0.53304,2.2499,0.000973861,0.000973861,0.000973861
44,4308.78,0.77389,0.56834,1.98587,0.99293,0.96737,0.99393,0.86431,0.64296,0.48598,2.73865,0.000957358,0.000957358,0.000957358
45,4401.75,0.68678,0.50603,1.9384,0.97474,1,0.99444,0.87828,0.65084,0.50788,2.55881,0.000940855,0.000940855,0.000940855
46,4502.97,0.70615,0.54155,2.03652,0.97029,1,0.99444,0.85337,0.64867,0.4871,2.39908,0.000924352,0.000924352,0.000924352
47,4603.47,0.69738,0.50759,1.98827,0.99165,0.99476,0.995,0.84143,0.6841,0.49071,2.4129,0.000907848,0.000907848,0.000907848
48,4691.16,0.74894,0.52823,2.07415,0.9768,0.99744,0.99444,0.8262,0.67826,0.48945,2.37942,0.000891345,0.000891345,0.000891345
49,4785.31,0.67273,0.50899,2.03888,0.97896,0.99705,0.99444,0.8428,0.66964,0.47961,2.37798,0.000874842,0.000874842,0.000874842
50,4880.14,0.69513,0.51296,1.90236,1,0.97607,0.99393,0.84909,0.65853,0.46819,2.41132,0.000858338,0.000858338,0.000858338
51,4971.22,0.69099,0.50014,1.94582,0.97819,0.99785,0.995,0.86161,0.64015,0.45805,2.45589,0.000841835,0.000841835,0.000841835
52,5065.24,0.71532,0.53015,2.03808,0.95581,0.98957,0.99444,0.86681,0.63409,0.50287,2.71161,0.000825332,0.000825332,0.000825332
53,5161.13,0.69535,0.51026,2.0142,0.99163,0.99159,0.995,0.8741,0.63046,0.49407,2.59637,0.000808828,0.000808828,0.000808828
54,5261.18,0.73631,0.52154,2.02072,0.99875,0.97958,0.99444,0.86402,0.65533,0.46769,2.21846,0.000792325,0.000792325,0.000792325
55,5356.69,0.65138,0.47958,1.9637,0.99677,0.99888,0.995,0.87343,0.61382,0.45999,2.37206,0.000775822,0.000775822,0.000775822
56,5456.55,0.63315,0.46716,1.93746,0.98875,0.98625,0.995,0.87374,0.6026,0.45119,2.25566,0.000759318,0.000759318,0.000759318
57,5557.2,0.70657,0.52074,1.93914,0.98942,1,0.995,0.87801,0.63462,0.45677,2.31341,0.000742815,0.000742815,0.000742815
58,5666.25,0.65276,0.48078,1.90849,0.99586,0.98077,0.99345,0.86794,0.63393,0.45217,2.36518,0.000726312,0.000726312,0.000726312
59,5767.12,0.68163,0.49562,1.87947,0.97453,1,0.99296,0.87731,0.5513,0.41898,2.82979,0.000709809,0.000709809,0.000709809
60,5879.16,0.63371,0.45922,1.81074,0.9732,0.99176,0.99296,0.87723,0.53111,0.41518,3.07139,0.000693305,0.000693305,0.000693305
61,5975.18,0.62994,0.46803,1.94452,0.96267,1,0.99222,0.88928,0.53784,0.40965,2.84465,0.000676802,0.000676802,0.000676802
62,6083.11,0.66798,0.47997,1.9375,0.9623,1,0.99222,0.8852,0.54786,0.41774,2.83308,0.000660299,0.000660299,0.000660299
63,6176.96,0.60646,0.45037,1.90199,0.97213,0.99669,0.99296,0.88205,0.54941,0.43446,2.76129,0.000643795,0.000643795,0.000643795
64,6268.72,0.62028,0.47266,1.82694,0.99069,0.98077,0.99345,0.88068,0.56271,0.44316,2.73584,0.000627292,0.000627292,0.000627292
65,6360.99,0.65223,0.48404,1.96736,0.99178,0.9973,0.995,0.88059,0.56146,0.4288,2.62328,0.000610789,0.000610789,0.000610789
66,6457.87,0.6539,0.47659,1.85308,0.99194,0.99831,0.995,0.888,0.56005,0.43428,2.55124,0.000594286,0.000594286,0.000594286
67,6552.25,0.61047,0.45672,1.7549,0.98534,0.99823,0.995,0.91157,0.51255,0.41305,2.54749,0.000577782,0.000577782,0.000577782
68,6647.38,0.56855,0.43268,1.80179,0.9922,0.99721,0.995,0.91057,0.50383,0.41843,2.5377,0.000561279,0.000561279,0.000561279
69,6742.38,0.57767,0.44133,1.86628,0.99474,0.98077,0.99444,0.91727,0.52805,0.4191,2.30952,0.000544776,0.000544776,0.000544776
70,6833.12,0.63416,0.4495,1.95048,0.97712,1,0.995,0.91317,0.53544,0.40896,2.55467,0.000528272,0.000528272,0.000528272
71,6931.34,0.6338,0.4493,1.9199,0.97491,0.99557,0.99444,0.9102,0.56637,0.41846,2.51653,0.000511769,0.000511769,0.000511769
72,7024.25,0.58346,0.43258,1.76263,0.99211,1,0.995,0.90409,0.55862,0.42442,2.53261,0.000495266,0.000495266,0.000495266
73,7117.77,0.60386,0.44605,1.89875,0.99271,1,0.995,0.9138,0.53097,0.41627,2.58006,0.000478762,0.000478762,0.000478762
74,7211.25,0.58184,0.44178,1.73186,0.99226,1,0.995,0.90731,0.52883,0.42991,2.56749,0.000462259,0.000462259,0.000462259
75,7312.52,0.57394,0.44599,1.87093,0.95455,0.99786,0.99316,0.88853,0.53484,0.44368,2.52162,0.000445756,0.000445756,0.000445756
76,7403.58,0.56357,0.42684,1.8179,0.99621,0.98077,0.99444,0.90003,0.52772,0.4241,2.55484,0.000429253,0.000429253,0.000429253
77,7496.96,0.60153,0.45395,1.83077,0.99564,0.96154,0.99268,0.90018,0.5276,0.4322,2.55347,0.000412749,0.000412749,0.000412749
78,7587.42,0.60692,0.45977,1.78327,0.97539,0.97849,0.99181,0.89942,0.52476,0.44817,2.64611,0.000396246,0.000396246,0.000396246
79,7680.04,0.59935,0.43782,1.82779,0.99297,0.97463,0.99182,0.90734,0.5145,0.43236,2.46827,0.000379743,0.000379743,0.000379743
80,7773.43,0.60397,0.469,1.80102,0.99321,0.96138,0.99258,0.90757,0.50937,0.41942,2.17763,0.000363239,0.000363239,0.000363239
81,7876.62,0.54241,0.42107,1.83141,0.99178,0.95948,0.993,0.90389,0.50546,0.42735,2.18046,0.000346736,0.000346736,0.000346736
82,7971.49,0.53959,0.41112,1.7151,0.98795,0.95847,0.993,0.91118,0.49061,0.41277,2.39573,0.000330233,0.000330233,0.000330233
83,8060.2,0.53877,0.41174,1.82689,0.95713,0.99793,0.99316,0.92308,0.48846,0.39098,2.64774,0.000313729,0.000313729,0.000313729
84,8158.39,0.53622,0.40566,1.76417,0.95589,1,0.99239,0.91915,0.48337,0.38243,2.65872,0.000297226,0.000297226,0.000297226
85,8258.18,0.57343,0.42979,1.83348,0.99416,0.98077,0.99393,0.92838,0.47776,0.37005,2.66548,0.000280723,0.000280723,0.000280723
86,8353.88,0.56009,0.42964,1.83078,0.99728,0.98077,0.99393,0.93391,0.47988,0.37821,2.70202,0.00026422,0.00026422,0.00026422
87,8448.43,0.53581,0.41228,1.77532,0.99805,0.98077,0.99444,0.92383,0.45408,0.37867,2.70158,0.000247716,0.000247716,0.000247716
88,8544.65,0.5975,0.4521,1.93322,0.99961,1,0.995,0.92538,0.44363,0.37792,2.70256,0.000231213,0.000231213,0.000231213
89,8639.63,0.54989,0.40991,1.69266,0.9991,1,0.995,0.92782,0.45181,0.37607,2.70122,0.00021471,0.00021471,0.00021471
90,8734.82,0.55509,0.42406,1.72671,0.97975,1,0.99444,0.92658,0.46103,0.38151,2.71999,0.000198206,0.000198206,0.000198206
91,8830.64,0.48806,0.37998,1.53627,0.97571,1,0.99296,0.93039,0.45656,0.37623,2.66854,0.000181703,0.000181703,0.000181703
92,8927.58,0.48746,0.38294,1.61693,0.97191,1,0.99296,0.93565,0.45859,0.38093,2.54846,0.0001652,0.0001652,0.0001652
93,9024.44,0.4611,0.37844,1.48274,0.96429,0.9999,0.99222,0.92708,0.46634,0.38718,2.40841,0.000148696,0.000148696,0.000148696
94,9110.95,0.45514,0.37313,1.5917,0.96423,0.99912,0.99008,0.9188,0.47574,0.40667,2.30649,0.000132193,0.000132193,0.000132193
95,9211.25,0.45062,0.36207,1.43173,0.95653,0.99708,0.99008,0.9188,0.46992,0.40283,2.29408,0.00011569,0.00011569,0.00011569
96,9299.33,0.45766,0.35503,1.67083,0.95966,0.99813,0.9893,0.91885,0.4687,0.40176,2.29,9.91865e-05,9.91865e-05,9.91865e-05
97,9399.17,0.46534,0.3689,1.57652,0.95983,1,0.9901,0.91327,0.46982,0.4002,2.28199,8.26832e-05,8.26832e-05,8.26832e-05
98,9494.15,0.44797,0.37379,1.54677,0.9609,1,0.9887,0.91242,0.47028,0.4032,2.28288,6.61799e-05,6.61799e-05,6.61799e-05
99,9581.28,0.43384,0.34696,1.51168,0.9608,1,0.9887,0.91312,0.46974,0.40464,2.23923,4.96766e-05,4.96766e-05,4.96766e-05
100,9676.6,0.45044,0.3537,1.46754,0.96054,1,0.99162,0.91398,0.46636,0.40079,2.26253,3.31733e-05,3.31733e-05,3.31733e-05
